beta,r2_sigma1,r2_sigma2,r2_d1,r2_d2,r2_mean
-0.2,0.8534,0.1542,0.9880,0.2017,0.5493
-0.1,0.9586,0.5883,0.9897,0.4256,0.7406
-0.05,0.9864,0.7924,0.9892,0.5278,0.8239
0.0,0.9949,0.8626,0.9883,0.5804,0.8566
0.05,0.9809,0.8103,0.9880,0.5235,0.8257
0.1,0.9452,0.7259,0.9878,0.4135,0.7681
0.2,0.8184,0.5504,0.9855,0.1486,0.6257
