beta_max,r2_sigma1,r2_sigma2,r2_d1,r2_d2,r2_mean
0.0,0.9901,0.8554,0.9859,0.5364,0.8419
0.02,0.9083,0.3647,0.9683,-0.7255,0.3790
0.05,0.5126,-0.3900,0.8746,-1.5051,-0.1270
0.1,-0.1855,-1.1852,0.5456,-1.8396,-0.6662
0.15,-0.7184,-1.6335,0.1485,-1.9357,-1.0348
0.2,-1.1210,-1.8879,-0.2303,-2.0139,-1.3133
