sigma_amp,R2_s1,R2_s2,R2_d1,R2_d2,mean_R2
0.0,0.9954088133698205,0.8976680956135006,0.9874223812052958,0.627424587308165,0.8769809693741955
0.01,0.9190363280953299,0.37956218347908555,0.9391188335616988,-0.7844255042727382,0.36332296021584404
0.02,0.7836958000661629,-0.11155939437315743,0.8025667942936485,-1.4652972997188836,0.00235147506694261
0.05,0.36844789229628705,-1.1485660529066242,0.27975751289049156,-2.124301676722521,-0.6561655811105916
0.1,-0.12976872163044528,-1.9413794889175056,-0.5580332894057136,-2.3938665061000894,-1.2557620015134385
0.2,-0.6828772652487041,-2.4308933551277465,-1.509847308924205,-2.6714308647288805,-1.823762198507384
