beta,r2_sigma1,r2_sigma2,r2_d1,r2_d2,r2_mean
-0.2,0.9901,0.8554,0.9859,0.5364,0.8419
-0.1,0.9901,0.8554,0.9859,0.5364,0.8419
-0.05,0.9901,0.8554,0.9859,0.5364,0.8419
0.0,0.9901,0.8554,0.9859,0.5364,0.8419
0.05,0.9901,0.8554,0.9859,0.5364,0.8419
0.1,0.9901,0.8554,0.9859,0.5364,0.8419
0.2,0.9901,0.8554,0.9859,0.5364,0.8419
