sigma_amp,r2_sigma1,r2_sigma2,r2_d1,r2_d2,r2_mean
0.0,0.9901,0.8554,0.9859,0.5364,0.8419
0.01,0.9306,0.4587,0.9726,-0.5535,0.4521
0.02,0.7454,0.0072,0.9329,-1.1694,0.1290
0.05,0.0389,-0.9410,0.6555,-1.7620,-0.5021
0.1,-0.8358,-1.6934,0.0074,-1.9498,-1.1179
0.2,-1.7271,-2.2547,-0.8451,-2.1310,-1.7394
