beta,R2_s1,R2_s2,R2_d1,R2_d2,mean_R2
-0.2,0.7462653684440474,-0.12080832520156526,0.9804438390890151,0.49352364881501265,0.5248561327866275
-0.1,0.9578275155410703,0.36836982975971655,0.9898538283263327,0.6012968968802406,0.7293370176268401
-0.05,0.9856439108131199,0.637055367126964,0.9894996761792613,0.6370532486554417,0.8123130506936966
0.0,0.9954088133698205,0.8976680956135006,0.9874223812052958,0.627424587308165,0.8769809693741955
0.05,0.9845529754546661,0.7921360967779453,0.9864179421053091,0.4881866145571949,0.8128234072237788
0.1,0.9507485397781094,0.6256248599413139,0.9851328748154271,0.2728699373395691,0.7085940529686049
0.2,0.821582063065704,0.35052437112917634,0.973611422801884,-0.07920365946730357,0.5166285493823652
