sigma_amp,r2_sigma1,r2_sigma2,r2_d1,r2_d2,r2_mean
0.0,0.9938,0.8382,0.9885,0.4142,0.8087
0.01,0.9678,0.4651,0.9730,-0.5742,0.4579
0.02,0.9015,0.0645,0.9077,-1.1946,0.1698
0.05,0.6582,-0.9215,0.5871,-1.8334,-0.3774
0.1,0.3210,-1.7646,-0.0050,-2.1736,-0.9055
0.2,-0.1465,-2.3883,-0.8616,-2.5047,-1.4753
